,Year,Country,freedom,Protest_Name,Motivations,Peak_Size
1854,2000,Brazil,Partly free,"political behavior, process",,10000
1855,2001,Brazil,Partly free,labor wage dispute,,50
1856,2001,Brazil,Partly free,"political behavior, process",,13000
1857,2001,Brazil,Partly free,"political behavior, process",,500
1858,2001,Brazil,Partly free,"political behavior, process",,1000
1859,2001,Brazil,Partly free,"political behavior, process",,1500
1860,2001,Brazil,Partly free,labor wage dispute,,2500
1861,2001,Brazil,Partly free,labor wage dispute,,100
1862,2001,Brazil,Partly free,"political behavior, process",,50
1863,2002,Brazil,Free,"political behavior, process",,1000
1864,2002,Brazil,Free,"political behavior, process",,500
1865,2002,Brazil,Free,"political behavior, process",,300
1866,2002,Brazil,Free,"political behavior, process",,200
1867,2003,Brazil,Free,"political behavior, process",,1000
1868,2003,Brazil,Free,"political behavior, process",,20000
1869,2003,Brazil,Free,"political behavior, process",,50
1870,2003,Brazil,Free,"political behavior, process",,400000
1871,2003,Brazil,Free,"political behavior, process",,30000
1872,2003,Brazil,Free,"political behavior, process",,7000
1873,2003,Brazil,Free,"political behavior, process",,500
1874,2003,Brazil,Free,"political behavior, process",,100
1875,2004,Brazil,Free,"political behavior, process",,100
1876,2004,Brazil,Free,"political behavior, process",,100
1877,2004,Brazil,Free,"political behavior, process",,100
1878,2005,Brazil,Free,"political behavior, process",,1000
1879,2005,Brazil,Free,"political behavior, process",,12000
1880,2005,Brazil,Free,"political behavior, process",,1000
1881,2005,Brazil,Free,"political behavior, process",,100
1882,2006,Brazil,Free,"political behavior, process",,2000
1883,2006,Brazil,Free,"political behavior, process",,700
1884,2006,Brazil,Free,"political behavior, process",,50
1885,2006,Brazil,Free,"political behavior, process",,50
1886,2007,Brazil,Free,labor wage dispute,,50
1887,2007,Brazil,Free,"political behavior, process",,2000
1888,2007,Brazil,Free,labor wage dispute,,9000
1889,2007,Brazil,Free,"political behavior, process",,50
1890,2007,Brazil,Free,labor wage dispute,,50
1891,2007,Brazil,Free,"political behavior, process",,50
1892,2007,Brazil,Free,"political behavior, process",,17000
1893,2007,Brazil,Free,"political behavior, process",,400
1894,2007,Brazil,Free,"political behavior, process",,150
1895,2008,Brazil,Free,"political behavior, process",,500
1896,2008,Brazil,Free,"political behavior, process",,600
1897,2008,Brazil,Free,"political behavior, process",,800
1898,2008,Brazil,Free,"political behavior, process",,100
1899,2008,Brazil,Free,labor wage dispute,,500
1900,2009,Brazil,Free,"political behavior, process",,50
1901,2009,Brazil,Free,"political behavior, process",,700
1902,2009,Brazil,Free,"political behavior, process",,150
1903,2010,Brazil,Free,"political behavior, process",,10000
1904,2010,Brazil,Free,"political behavior, process",,1000
1905,2010,Brazil,Free,"political behavior, process",,150
1906,2010,Brazil,Free,"political behavior, process",,50
1907,2010,Brazil,Free,"political behavior, process",,300
1908,2011,Brazil,Free,removal of politician,,20000
1909,2011,Brazil,Free,land farm issue,,300
1910,2011,Brazil,Free,"political behavior, process",,1000s
1911,2012,Brazil,Free,labor wage dispute,,>50
1912,2012,Brazil,Free,land farm issue,"political behavior, process",>50
1913,2012,Brazil,Free,"political behavior, process",,10000s
1914,2013,Brazil,Free,"political behavior, process",,>50
1915,2013,Brazil,Free,"price increases, tax policy",,1000s
1916,2013,Brazil,Free,"price increases, tax policy",,1000s
1917,2013,Brazil,Free,"price increases, tax policy",,1000s
1918,2013,Brazil,Free,"price increases, tax policy",,1000s
1919,2013,Brazil,Free,"price increases, tax policy",,1000s
1920,2013,Brazil,Free,"price increases, tax policy",,100s
1921,2013,Brazil,Free,"price increases, tax policy",police brutality,240000
1922,2013,Brazil,Free,removal of politician,"price increases, tax policy",1000s
1923,2013,Brazil,Free,"political behavior, process",,200
1924,2013,Brazil,Free,"political behavior, process",removal of politician,15000
1925,2013,Brazil,Free,removal of politician,"political behavior, process",>1000000
1926,2013,Brazil,Free,"political behavior, process",,250000
1927,2013,Brazil,Free,removal of politician,,100000
1928,2013,Brazil,Free,removal of politician,"political behavior, process",1000s
1929,2013,Brazil,Free,removal of politician,"political behavior, process",1000s
1930,2013,Brazil,Free,"political behavior, process",,1000s
1931,2013,Brazil,Free,"political behavior, process",police brutality,>50
1932,2013,Brazil,Free,"political behavior, process",,1000s
1933,2013,Brazil,Free,police brutality,,>50
1934,2013,Brazil,Free,"political behavior, process",removal of politician,1000s
1935,2013,Brazil,Free,labor wage dispute,,10000s
1936,2013,Brazil,Free,"political behavior, process",,36000
1937,2014,Brazil,Free,"political behavior, process",,100s
1938,2014,Brazil,Free,police brutality,,50+
1939,2014,Brazil,Free,labor wage dispute,"political behavior, process",1000s
1940,2014,Brazil,Free,"political behavior, process",,1000s
1941,2014,Brazil,Free,"price increases, tax policy","political behavior, process",1000s
1942,2014,Brazil,Free,"political behavior, process",,50+
1943,2014,Brazil,Free,"price increases, tax policy","political behavior, process",50+
1944,2014,Brazil,Free,"price increases, tax policy",,50+
1945,2014,Brazil,Free,"political behavior, process",,700
1946,2015,Brazil,Free,"price increases, tax policy",,12000
1947,2015,Brazil,Free,labor wage dispute,,>50
1948,2015,Brazil,Free,removal of politician,,>50
1949,2015,Brazil,Free,labor wage dispute,,>50
1950,2015,Brazil,Free,removal of politician,"political behavior, process",>2000000
1951,2015,Brazil,Free,labor wage dispute,,>50
1952,2015,Brazil,Free,labor wage dispute,,>50
1953,2015,Brazil,Free,labor wage dispute,,>50
1954,2015,Brazil,Free,labor wage dispute,,>50
1955,2015,Brazil,Free,removal of politician,"political behavior, process",10000s
1956,2015,Brazil,Free,labor wage dispute,,>50
1957,2015,Brazil,Free,police brutality,,>50
1958,2015,Brazil,Free,labor wage dispute,,>50
1959,2015,Brazil,Free,labor wage dispute,,>50
1960,2015,Brazil,Free,labor wage dispute,,>50
1961,2015,Brazil,Free,labor wage dispute,,>50
1962,2015,Brazil,Free,labor wage dispute,,>50
1963,2015,Brazil,Free,labor wage dispute,,>50
1964,2015,Brazil,Free,"political behavior, process",,50
1965,2015,Brazil,Free,removal of politician,"political behavior, process",800000
1966,2015,Brazil,Free,land farm issue,police brutality,50
1967,2015,Brazil,Free,"political behavior, process",,>50
1968,2015,Brazil,Free,removal of politician,,10000s
1969,2016,Brazil,Free,"price increases, tax policy",,>1000
1970,2016,Brazil,Free,"price increases, tax policy",,25 protesters injured
1971,2016,Brazil,Free,removal of politician,"political behavior, process",hundreds of thousands to 1.4 million
1972,2016,Brazil,Free,removal of politician,"political behavior, process",tens of thousands
1973,2016,Brazil,Free,"political behavior, process",,tens of thousands
1974,2016,Brazil,Free,"political behavior, process",,25000
1975,2016,Brazil,Free,removal of politician,,50000
1976,2016,Brazil,Free,"political behavior, process",,scores
1977,2016,Brazil,Free,"political behavior, process",,hundreds
1978,2016,Brazil,Free,labor wage dispute,"political behavior, process",more than a dozen schools
1979,2016,Brazil,Free,removal of politician,labor wage dispute,>100
1980,2016,Brazil,Free,"political behavior, process",,thousands
1981,2016,Brazil,Free,labor wage dispute,,>50
1982,2016,Brazil,Free,removal of politician,"political behavior, process",hundreds
1983,2016,Brazil,Free,"political behavior, process",,thousands
1984,2016,Brazil,Free,labor wage dispute,"political behavior, process",hundreds
1985,2016,Brazil,Free,removal of politician,labor wage dispute,a few thousand
1986,2016,Brazil,Free,"political behavior, process",,Several thousand
1987,2016,Brazil,Free,removal of politician,"political behavior, process",thousands
1988,2016,Brazil,Free,labor wage dispute,,"About 2,000 "
1989,2016,Brazil,Free,"political behavior, process",,thousands
1990,2016,Brazil,Free,labor wage dispute,,>50
1991,2016,Brazil,Free,labor wage dispute,"political behavior, process",dozens arrested 
2000,2018,Brazil,Free,"political behavior, process",,thousands
2001,2018,Brazil,Free,"political behavior, process",,50
2002,2018,Brazil,Free,"price increases, tax policy",,2000
2003,2018,Brazil,Free,"political behavior, process",,50
2004,2018,Brazil,Free,"political behavior, process",,50
2005,2018,Brazil,Free,removal of politician,,tens of thousands
2006,1990,Bolivia,Free,"political behavior, process",,50
2007,1990,Bolivia,Free,land farm issue,,700
2008,1990,Bolivia,Free,"political behavior, process",,10000
2009,1991,Bolivia,Free,"political behavior, process",,1000
2010,1991,Bolivia,Free,"political behavior, process",,60000
2011,1991,Bolivia,Free,"political behavior, process",,50
2012,1991,Bolivia,Free,"political behavior, process",,50
2013,1991,Bolivia,Free,"political behavior, process",,70
2014,1992,Bolivia,Free,"political behavior, process",,100
2015,1992,Bolivia,Free,"political behavior, process",,50
2016,1992,Bolivia,Free,"political behavior, process",,500
2017,1992,Bolivia,Free,"political behavior, process",,50
2018,1992,Bolivia,Free,labor wage dispute,,1000
2019,1992,Bolivia,Free,labor wage dispute,,50
2020,1992,Bolivia,Free,labor wage dispute,,1000
2021,1992,Bolivia,Free,police brutality,,100
2022,1992,Bolivia,Free,"political behavior, process",,100
2023,1992,Bolivia,Free,social restrictions,,10000
2024,1992,Bolivia,Free,"political behavior, process",,50
2025,1993,Bolivia,Free,"political behavior, process",,100
2026,1993,Bolivia,Free,"political behavior, process",,50
2027,1994,Bolivia,Free,"political behavior, process",,15000
2028,1994,Bolivia,Free,labor wage dispute,,1000
2029,1994,Bolivia,Free,"political behavior, process",,3000
2030,1994,Bolivia,Free,"political behavior, process",,1000
2031,1994,Bolivia,Free,"political behavior, process",,400
2032,1994,Bolivia,Free,"political behavior, process",,3000
2033,1995,Bolivia,Partly free,labor wage dispute,,50
2034,1995,Bolivia,Partly free,labor wage dispute,,50
2035,1995,Bolivia,Partly free,"political behavior, process",,50
2036,1995,Bolivia,Partly free,labor wage dispute,,100
2037,1995,Bolivia,Partly free,land farm issue,,1500
2038,1995,Bolivia,Partly free,labor wage dispute,,1000
2039,1995,Bolivia,Partly free,land farm issue,,50
2040,1995,Bolivia,Partly free,"political behavior, process",,100
2041,1995,Bolivia,Partly free,labor wage dispute,,1000
2042,1995,Bolivia,Partly free,"political behavior, process",,100
2043,1995,Bolivia,Partly free,"political behavior, process",,100
2044,1995,Bolivia,Partly free,"political behavior, process",,609
2045,1995,Bolivia,Partly free,"political behavior, process",,50
2046,1995,Bolivia,Partly free,"political behavior, process",,900
2047,1996,Bolivia,Free,"political behavior, process",,900
2048,1996,Bolivia,Free,"price increases, tax policy",,150
2049,1996,Bolivia,Free,"political behavior, process",,50
2050,1996,Bolivia,Free,labor wage dispute,,1000
2051,1996,Bolivia,Free,labor wage dispute,,50000
2052,1996,Bolivia,Free,"political behavior, process",,50
2053,1996,Bolivia,Free,police brutality,,40000
2054,1996,Bolivia,Free,"political behavior, process",,100000
2055,1996,Bolivia,Free,"political behavior, process",,50
2056,1996,Bolivia,Free,land farm issue,,25000
2057,1996,Bolivia,Free,"political behavior, process",,50
2058,1996,Bolivia,Free,"political behavior, process",,100
2059,1996,Bolivia,Free,police brutality,,100
2060,1997,Bolivia,Free,"political behavior, process",,3000
2061,1997,Bolivia,Free,"political behavior, process",,50
2062,1997,Bolivia,Free,"political behavior, process",,7000
2063,1997,Bolivia,Free,"price increases, tax policy",,100
2064,1998,Bolivia,Free,"political behavior, process",,1000
2065,1998,Bolivia,Free,labor wage dispute,,1000
2066,1998,Bolivia,Free,"political behavior, process",,100
2067,1998,Bolivia,Free,"political behavior, process",,100
2068,1998,Bolivia,Free,"price increases, tax policy",,100
2069,1998,Bolivia,Free,"political behavior, process",,200
2070,1998,Bolivia,Free,labor wage dispute,,100
2071,1999,Bolivia,Free,"political behavior, process",,1500
2072,1999,Bolivia,Free,"political behavior, process",,1000
2073,1999,Bolivia,Free,"political behavior, process",,3000
2074,2000,Bolivia,Free,"price increases, tax policy",,1000
2075,2000,Bolivia,Free,"political behavior, process",,8000
2076,2000,Bolivia,Free,"price increases, tax policy",,1000
2077,2000,Bolivia,Free,labor wage dispute,,100
2078,2000,Bolivia,Free,"political behavior, process",,100
2079,2001,Bolivia,Free,"political behavior, process",,5000
2080,2002,Bolivia,Free,"political behavior, process",,50
2081,2002,Bolivia,Free,"political behavior, process",,3000
2082,2003,Bolivia,Partly free,"price increases, tax policy",,7000
2083,2003,Bolivia,Partly free,"political behavior, process",,1000
2084,2004,Bolivia,Partly free,"political behavior, process",,100
2085,2004,Bolivia,Partly free,removal of politician,,100
2086,2004,Bolivia,Partly free,"political behavior, process",,4000
2087,2004,Bolivia,Partly free,removal of politician,,20000
2088,2005,Bolivia,Partly free,"price increases, tax policy",,5000
2089,2005,Bolivia,Partly free,"political behavior, process",,1000
2090,2005,Bolivia,Partly free,"political behavior, process",,1000
